acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.7722835,4.65404,8.560922,0.01038471,-0.0032070426,0.03176499,20240202_130807_469
0.77706915,4.634897,8.565707,0.009010263,-0.001985312,0.032986723,20240202_130807_472
0.7818548,4.625326,8.556135,0.009010263,-0.0032070426,0.032986723,20240202_130807_473
0.8009974,4.615755,8.541779,0.009162978,-7.6358154E-4,0.030543262,20240202_130807_476
0.79142606,4.6061835,8.541779,0.0067195175,4.5814895E-4,0.03176499,20240202_130807_478
0.7962117,4.615755,8.522636,0.007941248,-0.001985312,0.030543262,20240202_130807_480
0.8105687,4.615755,8.517851,0.0067195175,-0.0032070426,0.030543262,20240202_130807_483
0.8249256,4.615755,8.5322075,0.0067195175,4.5814895E-4,0.029321533,20240202_130807_484
0.82013994,4.634897,8.527422,0.004276057,-0.001985312,0.02565634,20240202_130807_487
0.82971126,4.65404,8.536993,0.0030543262,-7.6358154E-4,0.028099801,20240202_130807_489
0.8344969,4.65404,8.560323,6.1086525E-4,0.0016798794,0.021991149,20240202_130807_491
0.8344969,4.65404,8.579466,-0.0018325958,-0.001985312,0.021991149,20240202_130807_493
0.8488538,4.6636114,8.589037,-0.004276057,-7.6358154E-4,0.019547688,20240202_130807_495
0.8344969,4.65404,8.579466,-0.005497787,0.0053450707,0.017104227,20240202_130807_497
0.82971126,4.634897,8.579466,-0.005497787,0.0041233404,0.017104227,20240202_130807_499
0.8249256,4.634897,8.598608,-0.005497787,0.0065668016,0.012064588,20240202_130807_501
0.8249256,4.615755,8.565707,-0.0030543262,0.010231993,0.013439035,20240202_130807_504
0.8249256,4.6205406,8.560922,-6.1086525E-4,0.009010263,0.012217305,20240202_130807_506
0.8344969,4.615755,8.565707,0.0030543262,0.0065668016,0.009773844,20240202_130807_508
0.8392825,4.634897,8.555537,0.0067195175,0.0065668016,0.010995574,20240202_130807_510
0.8488538,4.644469,8.565108,0.007941248,0.0053450707,0.010995574,20240202_130807_512
0.8344969,4.668397,8.57468,0.01160644,0.0016798794,0.010995574,20240202_130807_514
0.82971126,4.6779685,8.598608,0.01038471,-7.6358154E-4,0.009773844,20240202_130807_518
0.8249256,4.6779685,8.5938225,0.014049901,4.5814895E-4,0.010995574,20240202_130807_520
0.80578303,4.6779685,8.5938225,0.016493361,-0.0032070426,0.007330383,20240202_130807_522
0.80578303,4.692325,8.598608,0.018936822,-0.004428773,0.007330383,20240202_130807_523
0.8009974,4.692325,8.608179,0.017715093,-0.0056505036,0.007330383,20240202_130807_525
0.79142606,4.6971107,8.584251,0.021380283,-0.009162978,0.0061086523,20240202_130807_528
0.7818548,4.682754,8.603394,0.021380283,-0.007941248,0.008552114,20240202_130807_530
0.77706915,4.692325,8.5938225,0.021380283,-0.01038471,0.0061086523,20240202_130807_532
0.78664047,4.7018967,8.598608,0.025045475,-0.01038471,0.007330383,20240202_130807_534
0.78664047,4.7114677,8.598608,0.023823744,-0.009162978,0.008552114,20240202_130807_536
0.7818548,4.7018967,8.57468,0.026267206,-0.009162978,0.0061086523,20240202_130807_538
0.77706915,4.7114677,8.589037,0.028710667,-0.01160644,0.008552114,20240202_130807_540
0.7818548,4.720441,8.565707,0.029932396,-0.009162978,0.00870483,20240202_130807_542
0.79142606,4.7018967,8.541779,0.032375857,-0.009162978,0.00992656,20240202_130807_544
0.7962117,4.7114677,8.541779,0.03481932,-0.009162978,0.00870483,20240202_130807_547
0.80578303,4.706682,8.541779,0.03604105,-0.009162978,0.00992656,20240202_130807_548
0.8105687,4.706682,8.5322075,0.03726278,-0.0030543262,0.011148291,20240202_130807_551
0.8009974,4.7162533,8.517851,0.03726278,-0.005497787,0.00992656,20240202_130807_553
0.7962117,4.6971107,8.522636,0.03481932,-0.0067195175,0.011148291,20240202_130807_556
0.8009974,4.6971107,8.536993,0.03604105,0.0018325958,0.011148291,20240202_130807_558
0.8009974,4.7162533,8.522636,0.03359759,-6.1086525E-4,0.013591751,20240202_130807_560
0.78664047,4.7114677,8.513064,0.032375857,0.0053450707,0.012370021,20240202_130807_561
